Child Level,Event Name,CPU Start (ns),GPU Start (ns),GPU Duration (ns),Process Name,Thread ID,CPU Core,GPU Engine,
0,"GPU Work",0,1527609700,32100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527647800,32700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527686700,35400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527727700,30600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527767900,31200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527806800,27900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527847700,27100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527888100,27000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527928700,31500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1527983800,33100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528023000,29800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528062600,31800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528102700,30600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528142300,29500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528181600,33000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528220800,34600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528260500,36600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528300200,31300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528339500,31200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528378600,28100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528417100,28600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528456500,27900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528496800,28600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528536100,31000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528576500,32800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528615100,32400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528654600,31900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528692700,31700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528735100,31600,final_project2.exe,,,Cuda,
