Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"[bcryptprimitives.dll]",1,0,0.01,0.00,
"[cfgmgr32.dll]",1,0,0.01,0.00,
"[comctl32.dll]",1,0,0.01,0.00,
"[crypt32.dll]",1,0,0.01,0.00,
"[crypt32.dll]",29,0,0.22,0.00,
"[d3d11.dll]",1,0,0.01,0.00,
"[DataExchange.dll]",3,0,0.02,0.00,
"[devobj.dll]",1,0,0.01,0.00,
"[DptfPolicyPassive2.dll]",7,0,0.05,0.00,
"[dwmapi.dll]",1,0,0.01,0.00,
"[dxgi.dll]",1,0,0.01,0.00,
"[esif_umdf2.dll]",6,0,0.05,0.00,
"[gdi32.dll]",9,0,0.07,0.00,
"[gdi32full.dll]",5,0,0.04,0.00,
"[igd10iumd64.dll]",2,0,0.02,0.00,
"[imm32.dll]",1,0,0.01,0.00,
"[kernel32.dll]",3,0,0.02,0.00,
"[KernelBase.dll]",2,0,0.02,0.00,
"[KernelBase.dll]",31,0,0.23,0.00,
"[msasn1.dll]",2,0,0.02,0.00,
"[msctf.dll]",1,0,0.01,0.00,
"[msls31.dll]",15,0,0.11,0.00,
"[msvcp_win.dll]",1,0,0.01,0.00,
"[msvcp140.dll]",1,0,0.01,0.00,
"[msvcrt.dll]",1,0,0.01,0.00,
"[nvapi64.dll]",1,0,0.01,0.00,
"[nvapi64.dll]",1,0,0.01,0.00,
"[nvdlistx.dll]",6,0,0.05,0.00,
"[nvldumdx.dll]",49,0,0.37,0.00,
"[nvldumdx.dll]",1,0,0.01,0.00,
"[nvspcap64.dll]",1,0,0.01,0.00,
"[NvTelemetry64.dll]",1,0,0.01,0.00,
"[nvwgf2umx_cfg.dll]",3,0,0.02,0.00,
"[ole32.dll]",7,0,0.05,0.00,
"[poco.dll]",4,0,0.03,0.00,
"[profapi.dll]",1,0,0.01,0.00,
"[propsys.dll]",2,0,0.02,0.00,
"[ResourcePolicyClient.dll]",1,0,0.01,0.00,
"[sechost.dll]",1,0,0.01,0.00,
"[sechost.dll]",1,0,0.01,0.00,
"[setupapi.dll]",3,0,0.02,0.00,
"[SHCore.dll]",8,0,0.06,0.00,
"[shell32.dll]",23,0,0.17,0.00,
"[shlwapi.dll]",4,0,0.03,0.00,
"[sspicli.dll]",1,0,0.01,0.00,
"[twinapi.appcore.dll]",3,0,0.02,0.00,
"[user32.dll]",5,0,0.04,0.00,
"[userenv.dll]",1,0,0.01,0.00,
"[valWBFPolicyService.exe]",1,0,0.01,0.00,
"[vcruntime140.dll]",1,0,0.01,0.00,
